school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,passed,attendance_pct,attendance_zone,grade_progress,department,core_subject,semester,admission_type,hostel_status,backlog_count,guardian_call_required,risk_segment
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,1,96,Eligible,11,AI & ML,Programming,Sem 1,Merit,Day Scholar,0,No,Low Risk
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,1,98,Eligible,2,EE,Programming,Sem 2,Management,Day Scholar,0,No,Low Risk
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,1,94,Eligible,1,CSBS,Data Structures,Sem 5,Lateral Entry,Day Scholar,0,No,Low Risk
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,1,100,Eligible,0,ME,Food Processing,Sem 6,Merit,Day Scholar,0,No,Low Risk
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,1,100,Eligible,2,AI & ML,DBMS,Sem 2,Lateral Entry,Hosteller,0,No,Low Risk
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,1,94,Eligible,0,Food Tech,Programming,Sem 6,Entrance,Hosteller,0,No,Low Risk
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,1,100,Eligible,-1,ECE,Mathematics,Sem 5,Merit,Hosteller,0,No,Low Risk
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,1,98,Eligible,3,AI & ML,Mechanics,Sem 1,Management,Day Scholar,0,No,Low Risk
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,1,100,Eligible,1,CSBS,Electronics,Sem 3,Entrance,Hosteller,0,No,Low Risk
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,1,100,Eligible,0,ME,Programming,Sem 2,Management,Day Scholar,0,No,Low Risk
